,adp_2qb,adp_dynasty,adp_half_ppr,adp_ppr,adp_rookie,adp_std,blk_kick,blk_kick_ret_td,blk_kick_ret_yd,cmp_pct,def_2pt,def_pass_def,def_snp,def_td,down_3_att,down_3_conv,down_3_pct,down_4_att,down_4_conv,down_4_pct,dropback,fan_pts_allow,fan_pts_allow_k,fan_pts_allow_qb,fan_pts_allow_rb,fan_pts_allow_te,fan_pts_allow_wr,fd,ff,fg_blkd,fga,fgm,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,fgm_lng,fgm_pct,fum,fum_lost,fum_rec,fum_ret_yd,g2g_att,g2g_conv,g2g_pct,giveaway,gms_active,gp,gs,humidity,int,int_ret_yd,kr,kr_lng,kr_td,kr_yd,kr_ypa,off_play,off_snp,off_yd,off_yd_per_play,opp_fd,opp_off_play,opp_off_yd,opp_off_yd_per_play,opp_pass_fd,opp_rush_fd,opp_score,opp_score_ot,opp_score_q1,opp_score_q2,opp_score_q3,opp_score_q4,over_under,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_lng,pass_rtg,pass_sack,pass_sack_yds,pass_td,pass_yd,pass_ypa,pass_ypc,penalty,penalty_yd,point_spread,pr,pr_lng,pr_td,pr_yd,pr_ypa,pts_allow,pts_half_ppr,pts_ppr,pts_std,punt_avg,punt_blkd,punt_in_20,punt_lng,punt_net_avg,punt_net_yd,punt_tb,punt_yds,punts,qb_hit,rec,rec_2pt,rec_lng,rec_pct,rec_td,rec_tgt,rec_yd,rec_ypr,rec_ypt,rush_2pt,rush_att,rush_fd,rush_lng,rush_td,rush_yd,rush_ypa,rz_att,rz_conv,rz_pct,sack,sack_yd,safe,score,score_ot,score_q1,score_q2,score_q3,score_q4,st_ff,st_fum_rec,st_snp,st_td,st_tkl_solo,takeaway,td,temperature,tkl,tkl_ast,tkl_loss,tkl_solo,tm_def_snp,tm_off_snp,tm_st_snp,turnover_diff,wind_speed,xp_blkd,xpa,xpm,yds_allow,year
6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
2355,999.0,999.0,999.0,999.0,999.0,999.0,,,,,,21.0,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,66.0,2.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,94.5,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,51.0,68.0,7.0,3.0,61.0,1091.0,1075.0,342.0,,8.0,,,,,2015
257,999.0,999.0,999.0,999.0,999.0,999.0,,,,,,1.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,4.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,29.5,29.5,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,2.0,,,60.0,31.0,5.0,,24.0,1086.0,1002.0,365.0,,8.0,,,,,2015
1952,999.0,999.0,999.0,999.0,999.0,999.0,,,,,,10.0,725.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,11.0,61.0,4.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,,1.0,,1.0,66.0,36.0,8.0,1.0,26.0,1040.0,1190.0,348.0,,8.0,,,,,2015
3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
WAS,999.0,999.0,999.0,999.0,999.0,999.0,,1.0,,,,61.0,,2.0,216.0,94.0,,12.0,7.0,,,1243.98,113.0,290.18,289.1,117.9,433.8,,22.0,,,,,,,,,,,,,18.0,28.0,,,,,,16.0,,59.0,11.0,181.0,43.0,101.0,2.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,,153.0,,363.0,66.0,,132.0,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,38.0,264.0,1.0,,,,,,,,,,3.0,,,,58.0,,352.0,59.0,626.0,,,,,7.0,,,,6090.0,2015
2050,999.0,999.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,8.0,8.0,1.0,51.0,,,9.0,30.0,,197.0,21.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,35.0,22.0,,,,,,,,,,,13.0,,17.0,86.7,,15.0,112.0,8.6,7.5,,31.0,,15.0,,108.0,3.5,,,,,,,,,,,,,,,72.0,,2.0,,,73.0,2.0,,,,480.0,605.0,196.0,,8.0,,,,,2015
